# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.002        0.000        1.816        6.852
       2.005        0.000        1.816        6.852
       3.008        0.000        1.816        6.852
       4.011        0.000        1.816        6.852
       5.014        5.000        1.816        6.855
       6.016       21.000        1.816        6.855
       7.018       13.000        1.816        6.855
       8.019       15.000        1.816        6.855
       9.020       12.000        1.816        6.855
      10.022       13.000        1.816        6.855
      11.023       11.000        1.816        6.855
      12.025       12.000        1.816        6.855
      13.025       15.000        1.816        6.855
      14.026       15.000        1.816        6.855
