# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.879        6.852
       1.002        0.000        1.879        6.852
       2.005        0.000        1.879        6.852
       3.008        0.000        1.879        6.852
       4.011        0.000        1.879        6.852
       5.014        3.000        1.879        6.855
       6.014       18.000        1.879        6.855
       7.016       11.000        1.879        6.855
       8.016       12.000        1.879        6.855
       9.018       10.000        1.879        6.855
      10.018       15.000        1.879        6.855
      11.020       11.000        1.879        6.855
      12.020       10.000        1.879        6.855
      13.021       13.000        1.879        6.855
      14.023       13.000        1.879        6.855
