# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.777        6.852
       1.002        0.000        1.777        6.852
       2.005        0.000        1.777        6.852
       3.009        0.000        1.777        6.852
       4.013        0.000        1.777        6.852
       5.017       12.900        1.777        6.855
       6.020       22.900        1.777        6.855
       7.024       20.900        1.777        6.855
       8.028       19.900        1.777        6.855
       9.029        5.000        1.777        6.855
      10.030        6.000        1.777        6.855
      11.032       20.000        1.777        6.855
      12.035        9.000        1.777        6.855
      13.036        9.000        1.777        6.855
      14.037        5.000        1.777        6.855
