# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.004        4.000        1.887        6.855
       3.007       15.000        1.887        6.855
       4.009       16.000        1.887        6.855
       5.011       15.000        1.887        6.855
       6.014       14.000        1.887        6.855
       7.016       15.000        1.887        6.855
       8.018       11.000        1.887        6.855
       9.019        2.000        1.887        6.855
      10.020        4.000        1.887        6.855
      11.022        3.000        1.887        6.855
