# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.883        6.852
       1.002        5.000        1.883        6.855
       2.003       16.000        1.883        6.855
       3.004       15.000        1.883        6.855
       4.006       10.000        1.883        6.855
       5.007       10.000        1.883        6.855
       6.008        7.000        1.883        6.855
       7.010       11.000        1.883        6.855
       8.010       13.000        1.883        6.855
       9.011       10.000        1.883        6.855
      10.013        9.000        1.883        6.855
