# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.781        6.852
       1.002        0.000        1.781        6.852
       2.005        0.000        1.781        6.852
       3.008        0.000        1.781        6.852
       4.011        0.000        1.781        6.852
       5.014        0.000        1.781        6.852
       6.014       12.000        1.781        6.855
       7.015       12.000        1.781        6.855
       8.016       14.000        1.781        6.855
       9.017       13.000        1.781        6.855
      10.018       13.000        1.781        6.855
      11.019       14.000        1.781        6.855
      12.020       16.000        1.781        6.855
      13.021       15.000        1.781        6.855
      14.022       15.000        1.781        6.855
      15.023       13.000        1.781        6.855
