# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.824        6.852
       1.002        0.000        1.824        6.852
       2.005        0.000        1.824        6.852
       3.009        0.000        1.824        6.852
       4.012        0.000        1.824        6.852
       5.013        6.000        1.824        6.855
       6.015       10.000        1.824        6.855
       7.016       10.000        1.824        6.855
       8.017       10.000        1.824        6.855
       9.019       12.000        1.824        6.855
      10.020       10.000        1.824        6.855
      11.021       10.000        1.824        6.855
      12.022       11.000        1.824        6.855
      13.023       11.000        1.824        6.855
      14.025       10.000        1.824        6.855
