# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.005        4.000        1.820        6.855
       4.007        9.000        1.820        6.855
       5.008       12.000        1.820        6.855
       6.010       15.000        1.820        6.855
       7.011       12.000        1.820        6.855
       8.013       13.000        1.820        6.855
       9.015        8.000        1.820        6.855
      10.016       12.000        1.820        6.855
      11.018       13.000        1.820        6.855
      12.019       10.000        1.820        6.855
