# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.001        0.000        1.816        6.852
       2.003        0.000        1.816        6.852
       3.005        2.000        1.816        6.855
       4.007       27.000        1.816        6.855
       5.008       32.900        1.816        6.855
       6.010       31.900        1.816        6.855
       7.011       27.000        1.816        6.855
       8.013       30.900        1.816        6.855
       9.015       30.900        1.816        6.855
      10.016       12.000        1.816        6.855
      11.018       25.000        1.816        6.855
      12.019       31.000        1.816        6.855
