# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.883        6.852
       1.001        0.000        1.883        6.852
       2.003        0.000        1.883        6.852
       3.005        0.000        1.883        6.852
       4.007       21.000        1.883        6.855
       5.009       31.900        1.883        6.855
       6.010       31.900        1.883        6.855
       7.012       32.900        1.883        6.855
       8.014       30.900        1.883        6.855
       9.015       33.900        1.883        6.855
      10.017       31.900        1.883        6.855
      11.019       31.900        1.883        6.855
      12.020       31.900        1.883        6.855
      13.022       32.900        1.883        6.855
