# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.879        6.852
       1.001        0.000        1.879        6.852
       2.003        0.000        1.879        6.852
       3.005       14.000        1.879        6.855
       4.006       30.000        1.879        6.855
       5.007       20.000        1.879        6.855
       6.009       25.000        1.879        6.855
       7.009       20.000        1.879        6.855
       8.011       22.000        1.879        6.855
       9.012       22.000        1.879        6.855
      10.013       22.000        1.879        6.855
      11.015       22.000        1.879        6.855
      12.015       20.000        1.879        6.855
