# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.001        0.000        1.816        6.852
       2.003        0.000        1.816        6.852
       3.005        1.000        1.816        6.855
       4.007       11.000        1.816        6.855
       5.008       11.000        1.816        6.855
       6.009       11.000        1.816        6.855
       7.010       11.000        1.816        6.855
       8.012       14.000        1.816        6.855
       9.013       17.000        1.816        6.855
      10.014       14.000        1.816        6.855
      11.016       13.000        1.816        6.855
      12.017       12.000        1.816        6.855
