# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.758        6.852
       1.001        0.000        1.758        6.852
       2.003        0.000        1.758        6.852
       3.005       19.000        1.758        6.855
       4.006       22.000        1.758        6.855
       5.007       27.000        1.758        6.855
       6.008       21.000        1.758        6.855
       7.009       23.000        1.758        6.855
       8.010       23.000        1.758        6.855
       9.011       22.000        1.758        6.855
      10.012       22.000        1.758        6.855
      11.013       20.000        1.758        6.855
      12.014       26.000        1.758        6.855
