# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.001        0.000        1.816        6.852
       2.002        0.000        1.816        6.852
       3.004        0.000        1.816        6.852
       4.005        7.000        1.816        6.855
       5.006       17.000        1.816        6.855
       6.008       14.000        1.816        6.855
       7.010       16.000        1.816        6.855
       8.010       14.000        1.816        6.855
       9.012       14.000        1.816        6.855
      10.013       14.000        1.816        6.855
      11.015       15.000        1.816        6.855
      12.016       15.000        1.816        6.855
      13.018       15.000        1.816        6.855
