# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.883        6.852
       1.001        0.000        1.883        6.852
       2.003        0.000        1.883        6.852
       3.005        9.000        1.883        6.855
       4.007       25.000        1.883        6.855
       5.008       25.000        1.883        6.855
       6.009       23.000        1.883        6.855
       7.010       25.000        1.883        6.855
       8.011       24.000        1.883        6.855
       9.013       26.000        1.883        6.855
      10.014       24.000        1.883        6.855
      11.015       24.000        1.883        6.855
      12.017       28.000        1.883        6.855
