# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.812        6.852
       1.001        0.000        1.812        6.852
       2.003        0.000        1.812        6.852
       3.005        0.000        1.812        6.852
       4.007       18.000        1.812        6.855
       5.008       29.000        1.812        6.855
       6.010       24.000        1.812        6.855
       7.012       28.000        1.812        6.855
       8.013       30.000        1.812        6.855
       9.014       30.000        1.812        6.855
      10.015       28.000        1.812        6.855
      11.017       27.000        1.812        6.855
      12.018       30.000        1.812        6.855
      13.020       30.000        1.812        6.855
