# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.758        6.852
       1.001        0.000        1.758        6.852
       2.003        0.000        1.758        6.852
       3.005        0.000        1.758        6.852
       4.007       28.000        1.758        6.855
       5.008       21.000        1.758        6.855
       6.010       21.000        1.758        6.855
       7.011       22.000        1.758        6.855
       8.012       21.000        1.758        6.855
       9.013       21.000        1.758        6.855
      10.015       34.900        1.758        6.855
      11.016       37.900        1.758        6.855
      12.018       37.900        1.758        6.855
      13.019       30.000        1.758        6.855
