# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.758        6.852
       1.001        0.000        1.758        6.852
       2.003        0.000        1.758        6.852
       3.005        2.000        1.758        6.855
       4.007       14.000        1.758        6.855
       5.008       14.000        1.758        6.855
       6.010       14.000        1.758        6.855
       7.012       16.000        1.758        6.855
       8.013       11.000        1.758        6.855
       9.015       14.000        1.758        6.855
      10.016       12.000        1.758        6.855
      11.018       13.000        1.758        6.855
      12.019       13.000        1.758        6.855
