# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.758        6.852
       1.001        0.000        1.758        6.852
       2.003        0.000        1.758        6.852
       3.005        0.000        1.758        6.852
       4.006       13.000        1.758        6.855
       5.008       25.000        1.758        6.855
       6.009       23.000        1.758        6.855
       7.010       28.000        1.758        6.855
       8.011       27.000        1.758        6.855
       9.013       25.000        1.758        6.855
      10.015       25.000        1.758        6.855
      11.016       25.000        1.758        6.855
      12.018       24.000        1.758        6.855
      13.019       23.000        1.758        6.855
