# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.002        0.000        1.887        6.852
       2.004        0.000        1.887        6.852
       3.006        0.000        1.887        6.852
       4.007        0.000        1.887        6.855
       5.008       18.000        1.887        6.855
       6.009       19.000        1.887        6.855
       7.010       16.000        1.887        6.855
       8.011       16.000        1.887        6.855
       9.012       19.000        1.887        6.855
      10.013       17.000        1.887        6.855
      11.014       15.000        1.887        6.855
      12.016       17.000        1.887        6.855
      13.017       15.000        1.887        6.855
