# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.005        0.000        1.820        6.852
       4.006        0.000        1.820        6.855
       5.008       15.000        1.820        6.855
       6.009       19.000        1.820        6.855
       7.010       21.000        1.820        6.855
       8.011       17.000        1.820        6.855
       9.012       18.000        1.820        6.855
      10.013       19.000        1.820        6.855
      11.014       17.000        1.820        6.855
      12.015       18.000        1.820        6.855
      13.016       18.000        1.820        6.855
