# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.758        6.852
       1.001        0.000        1.758        6.852
       2.003        0.000        1.758        6.852
       3.006        0.000        1.758        6.852
       4.007        6.000        1.758        6.855
       5.008       11.000        1.758        6.855
       6.008       12.000        1.758        6.855
       7.009       12.000        1.758        6.855
       8.010       11.000        1.758        6.855
       9.011       11.000        1.758        6.855
      10.013       13.000        1.758        6.855
      11.014       14.000        1.758        6.855
      12.016       13.000        1.758        6.855
      13.017       12.000        1.758        6.855
