# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.762        6.852
       1.002        0.000        1.762        6.852
       2.004        0.000        1.762        6.852
       3.006        0.000        1.762        6.852
       4.007        3.000        1.762        6.855
       5.009       12.000        1.762        6.855
       6.010        9.000        1.762        6.855
       7.012       11.000        1.762        6.855
       8.012        9.000        1.762        6.855
       9.014        9.000        1.762        6.855
      10.015        9.000        1.762        6.855
      11.016        9.000        1.762        6.855
      12.018        9.000        1.762        6.855
      13.019        8.000        1.762        6.855
