# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.004        0.000        1.887        6.852
       3.006        0.000        1.887        6.852
       4.008        5.000        1.887        6.855
       5.009       15.000        1.887        6.855
       6.010       18.000        1.887        6.855
       7.011       18.000        1.887        6.855
       8.012       20.000        1.887        6.855
       9.013       17.000        1.887        6.855
      10.015       16.000        1.887        6.855
      11.016       17.000        1.887        6.855
      12.017       17.000        1.887        6.855
      13.018       16.000        1.887        6.855
