# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.762        6.852
       1.001        0.000        1.762        6.852
       2.003        0.000        1.762        6.852
       3.005        0.000        1.762        6.852
       4.007        0.000        1.762        6.852
       5.009        4.000        1.762        6.855
       6.010       15.000        1.762        6.855
       7.011       17.000        1.762        6.855
       8.012       18.000        1.762        6.855
       9.013       19.000        1.762        6.855
      10.014       16.000        1.762        6.855
      11.015       16.000        1.762        6.855
      12.016       18.000        1.762        6.855
      13.017       18.000        1.762        6.855
      14.018       19.000        1.762        6.855
