# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.003        0.000        1.887        6.852
       3.006        0.000        1.887        6.852
       4.007        4.000        1.887        6.855
       5.009       14.000        1.887        6.855
       6.010       15.000        1.887        6.855
       7.012       16.000        1.887        6.855
       8.012       13.000        1.887        6.855
       9.014       14.000        1.887        6.855
      10.014       14.000        1.887        6.855
      11.016       13.000        1.887        6.855
      12.017       15.000        1.887        6.855
      13.018       14.000        1.887        6.855
