# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.824        6.852
       1.001        0.000        1.824        6.852
       2.002        0.000        1.824        6.852
       3.003        9.000        1.824        6.855
       4.004       16.000        1.824        6.855
       5.006       23.000        1.824        6.855
       6.006       22.000        1.824        6.855
       7.007       24.000        1.824        6.855
       8.009       22.000        1.824        6.855
       9.009       20.000        1.824        6.855
      10.010       17.000        1.824        6.855
      11.011       21.000        1.824        6.855
      12.013       18.000        1.824        6.855
