# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.005        4.000        1.820        6.855
       4.006       20.000        1.820        6.855
       5.007       25.000        1.820        6.855
       6.009       25.000        1.820        6.855
       7.010       27.000        1.820        6.855
       8.012       24.000        1.820        6.855
       9.013       24.000        1.820        6.855
      10.014       19.000        1.820        6.855
      11.015       21.000        1.820        6.855
      12.016       22.000        1.820        6.855
