# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.003        0.000        1.887        6.852
       3.005        9.000        1.887        6.855
       4.006       25.000        1.887        6.855
       5.008       26.000        1.887        6.855
       6.009       27.000        1.887        6.855
       7.011       27.000        1.887        6.855
       8.012       25.000        1.887        6.855
       9.013       28.000        1.887        6.855
      10.015       25.000        1.887        6.855
      11.016       25.000        1.887        6.855
      12.018       25.000        1.887        6.855
