# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.824        6.852
       1.001        0.000        1.824        6.852
       2.003        0.000        1.824        6.852
       3.005        0.000        1.824        6.852
       4.007       15.000        1.824        6.855
       5.009       18.000        1.824        6.855
       6.010       18.000        1.824        6.855
       7.011       19.000        1.824        6.855
       8.012       20.000        1.824        6.855
       9.013       18.000        1.824        6.855
      10.014       17.000        1.824        6.855
      11.016       15.000        1.824        6.855
      12.017       19.000        1.824        6.855
      13.018       19.000        1.824        6.855
