# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.005        6.000        1.820        6.855
       4.006       23.000        1.820        6.855
       5.007       20.000        1.820        6.855
       6.008       19.000        1.820        6.855
       7.009       19.000        1.820        6.855
       8.010       18.000        1.820        6.855
       9.011       19.000        1.820        6.855
      10.012       21.000        1.820        6.855
      11.013       19.000        1.820        6.855
      12.014       20.000        1.820        6.855
