# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.883        6.852
       1.001        0.000        1.883        6.852
       2.003        0.000        1.883        6.852
       3.005        2.000        1.883        6.855
       4.006       22.000        1.883        6.855
       5.007       24.000        1.883        6.855
       6.008       25.000        1.883        6.855
       7.009       19.000        1.883        6.855
       8.010       24.000        1.883        6.855
       9.012       24.900        1.883        6.855
      10.016       20.900        1.883        6.855
      11.017       23.000        1.883        6.855
      12.018       25.900        1.883        6.855
