# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.004        6.000        1.820        6.855
       4.005       24.000        1.820        6.855
       5.006       19.000        1.820        6.855
       6.007       22.000        1.820        6.855
       7.008       23.000        1.820        6.855
       8.009       21.000        1.820        6.855
       9.010       22.000        1.820        6.855
      10.011       22.000        1.820        6.855
      11.012       20.000        1.820        6.855
      12.013       22.000        1.820        6.855
