# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.003        0.000        1.887        6.852
       3.005        0.000        1.887        6.852
       4.007       14.000        1.887        6.855
       5.009       19.000        1.887        6.855
       6.010       17.000        1.887        6.855
       7.011       17.000        1.887        6.855
       8.013       20.000        1.887        6.855
       9.014       21.000        1.887        6.855
      10.015       21.000        1.887        6.855
      11.016       22.000        1.887        6.855
      12.017       17.000        1.887        6.855
      13.018       21.000        1.887        6.855
