# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.824        6.852
       1.001        0.000        1.824        6.852
       2.003        0.000        1.824        6.852
       3.005        5.000        1.824        6.855
       4.007       20.000        1.824        6.855
       5.007       23.000        1.824        6.855
       6.009       21.000        1.824        6.855
       7.010       21.000        1.824        6.855
       8.012       20.000        1.824        6.855
       9.012       19.000        1.824        6.855
      10.014       19.000        1.824        6.855
      11.015       22.000        1.824        6.855
      12.016       19.000        1.824        6.855
