# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.005        0.000        1.820        6.852
       4.006        5.000        1.820        6.855
       5.007       17.000        1.820        6.855
       6.008       15.000        1.820        6.855
       7.009       20.000        1.820        6.855
       8.010       19.000        1.820        6.855
       9.011       15.000        1.820        6.855
      10.012       17.000        1.820        6.855
      11.013       16.000        1.820        6.855
      12.014       17.000        1.820        6.855
      13.015       16.000        1.820        6.855
