# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.781        6.852
       1.001        0.000        1.781        6.852
       2.004        0.000        1.781        6.852
       3.007        0.000        1.781        6.852
       4.010        0.000        1.781        6.852
       5.012        0.000        1.781        6.852
       6.013        0.000        1.781        6.852
       7.014       14.000        1.781        6.855
       8.015       14.000        1.781        6.855
       9.017       14.000        1.781        6.855
      10.018       15.000        1.781        6.855
      11.019       10.000        1.781        6.855
      12.021       11.000        1.781        6.855
      13.022       12.000        1.781        6.855
      14.024       12.000        1.781        6.855
      15.025       12.000        1.781        6.855
      16.027       14.000        1.781        6.855
