# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.844        6.852
       1.002        0.000        1.844        6.852
       2.005        0.000        1.844        6.852
       3.009        0.000        1.844        6.852
       4.012        6.000        1.844        6.855
       5.013       13.000        1.844        6.855
       6.014       17.000        1.844        6.855
       7.015       19.000        1.844        6.855
       8.017       17.000        1.844        6.855
       9.018       18.000        1.844        6.855
      10.020       18.000        1.844        6.855
      11.022       19.000        1.844        6.855
      12.022       18.000        1.844        6.855
      13.023       19.000        1.844        6.855
