# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.002        0.000        1.887        6.852
       2.005        0.000        1.887        6.852
       3.008        0.000        1.887        6.852
       4.011        0.000        1.887        6.852
       5.014        0.000        1.887        6.852
       6.017        0.000        1.887        6.852
       7.018        3.000        1.887        6.855
       8.019        9.000        1.887        6.855
       9.021       12.000        1.887        6.855
      10.022       10.000        1.887        6.855
      11.023       11.000        1.887        6.855
      12.025       11.000        1.887        6.855
      13.026       10.000        1.887        6.855
      14.027        9.000        1.887        6.855
      15.029        8.000        1.887        6.855
      16.031        9.000        1.887        6.855
