# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.005       12.000        1.820        6.855
       4.007       15.000        1.820        6.855
       5.008       19.000        1.820        6.855
       6.009       13.000        1.820        6.855
       7.010       13.000        1.820        6.855
       8.012       16.000        1.820        6.855
       9.013       16.000        1.820        6.855
      10.014       16.000        1.820        6.855
      11.015       16.000        1.820        6.855
      12.016       15.000        1.820        6.855
