# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.828        6.852
       1.001        0.000        1.828        6.852
       2.003        0.000        1.828        6.852
       3.005        6.000        1.828        6.855
       4.006       11.000        1.828        6.855
       5.008        7.000        1.828        6.855
       6.010       10.000        1.828        6.855
       7.011        8.000        1.828        6.855
       8.013        9.000        1.828        6.855
       9.014        7.000        1.828        6.855
      10.016        7.000        1.828        6.855
      11.018        7.000        1.828        6.855
      12.019        7.000        1.828        6.855
