# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.883        6.852
       1.001        0.000        1.883        6.852
       2.003        0.000        1.883        6.852
       3.005        3.000        1.883        6.855
       4.006       26.000        1.883        6.855
       5.006       26.000        1.883        6.855
       6.008       21.000        1.883        6.855
       7.009       24.000        1.883        6.855
       8.009       21.000        1.883        6.855
       9.011       25.000        1.883        6.855
      10.012       21.000        1.883        6.855
      11.013       28.000        1.883        6.855
      12.013       20.900        1.883        6.855
