# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.003        0.000        1.887        6.852
       3.005        0.000        1.887        6.852
       4.007       15.000        1.887        6.855
       5.008       21.000        1.887        6.855
       6.009       22.000        1.887        6.855
       7.010       26.000        1.887        6.855
       8.011       25.000        1.887        6.855
       9.012       20.000        1.887        6.855
      10.014       26.000        1.887        6.855
      11.014       23.000        1.887        6.855
      12.015       20.000        1.887        6.855
      13.016       25.000        1.887        6.855
