# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.879        6.852
       1.001        0.000        1.879        6.852
       2.003        0.000        1.879        6.852
       3.005        7.000        1.879        6.855
       4.006       13.000        1.879        6.855
       5.007       15.000        1.879        6.855
       6.008       17.000        1.879        6.855
       7.010       15.000        1.879        6.855
       8.011       18.000        1.879        6.855
       9.013       20.000        1.879        6.855
      10.014       16.000        1.879        6.855
      11.015       19.000        1.879        6.855
      12.018       19.000        1.879        6.855
