# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.820        6.852
       1.001        0.000        1.820        6.852
       2.003        0.000        1.820        6.852
       3.004       14.000        1.820        6.855
       4.005       18.000        1.820        6.855
       5.007       21.000        1.820        6.855
       6.007       20.000        1.820        6.855
       7.009       19.000        1.820        6.855
       8.010       22.000        1.820        6.855
       9.011       22.000        1.820        6.855
      10.012       23.000        1.820        6.855
      11.013       18.000        1.820        6.855
      12.015       17.000        1.820        6.855
