# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.824        6.852
       1.001        0.000        1.824        6.852
       2.003        0.000        1.824        6.852
       3.005        8.000        1.824        6.855
       4.006       18.000        1.824        6.855
       5.008       18.000        1.824        6.855
       6.008       14.000        1.824        6.855
       7.009       18.000        1.824        6.855
       8.011       15.000        1.824        6.855
       9.012       16.000        1.824        6.855
      10.014       17.000        1.824        6.855
      11.015       18.000        1.824        6.855
      12.016       15.000        1.824        6.855
