# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.887        6.852
       1.001        0.000        1.887        6.852
       2.003        0.000        1.887        6.852
       3.004        9.000        1.887        6.855
       4.005       24.000        1.887        6.855
       5.007       26.000        1.887        6.855
       6.007       27.000        1.887        6.855
       7.009       23.000        1.887        6.855
       8.010       27.000        1.887        6.855
       9.012       21.000        1.887        6.855
      10.012       20.000        1.887        6.855
      11.013       20.000        1.887        6.855
      12.015       24.000        1.887        6.855
