# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.762        6.852
       1.002        0.000        1.762        6.852
       2.003        0.000        1.762        6.852
       3.005        1.000        1.762        6.855
       4.006       20.000        1.762        6.855
       5.007       20.000        1.762        6.855
       6.008       24.000        1.762        6.855
       7.010       21.000        1.762        6.855
       8.011       21.000        1.762        6.855
       9.012       16.000        1.762        6.855
      10.013       17.000        1.762        6.855
      11.014       18.000        1.762        6.855
      12.015       21.000        1.762        6.855
