# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.816        6.852
       1.001        0.000        1.816        6.852
       2.003        0.000        1.816        6.852
       3.005        6.000        1.816        6.855
       4.006       11.000        1.816        6.855
       5.008       13.000        1.816        6.855
       6.009       14.000        1.816        6.855
       7.010       12.000        1.816        6.855
       8.012       11.000        1.816        6.855
       9.013       11.000        1.816        6.855
      10.014       14.000        1.816        6.855
      11.016       15.000        1.816        6.855
      12.017       14.000        1.816        6.855
